Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2017-04-17,10483.96,10450.86,-69.00,-0.66%,10406.52,10505.63,88624032,11208275.00,-
2017-04-14,10662.25,10519.86,-134.22,-1.26%,10515.37,10662.53,111514832,13586053.00,-
2017-04-13,10578.58,10654.09,66.78,0.63%,10571.70,10678.78,109450208,13185058.00,-
2017-04-12,10643.49,10587.31,-68.48,-0.64%,10584.70,10667.60,139194752,16851040.00,-
2017-04-11,10601.00,10655.79,52.51,0.50%,10476.66,10662.50,137013712,18537790.00,-
2017-04-10,10663.86,10602.52,-66.96,-0.63%,10593.76,10664.10,121563928,15855559.00,-
2017-04-07,10652.40,10669.48,13.31,0.12%,10635.08,10702.88,104487632,13896892.00,-
2017-04-06,10649.84,10656.17,29.04,0.27%,10608.13,10661.77,88324056,12575645.00,-
2017-04-05,10496.78,10627.13,198.41,1.90%,10496.78,10628.60,95915160,13678942.00,-
2017-03-31,10351.33,10427.74,79.47,0.77%,10351.33,10427.89,62819468,9243970.00,-
2017-03-30,10505.39,10348.27,-172.55,-1.64%,10328.95,10513.88,85024192,11568268.00,-
2017-03-29,10573.12,10520.82,-42.46,-0.40%,10497.01,10585.88,78106272,11038241.00,-
2017-03-28,10580.16,10563.29,-18.63,-0.18%,10538.02,10606.09,65425796,9635339.00,-
2017-03-27,10643.45,10581.92,-64.80,-0.61%,10578.75,10660.23,74675304,11023321.00,-
2017-03-24,10584.09,10646.72,63.68,0.60%,10580.11,10666.12,83432016,11991555.00,-
2017-03-23,10558.34,10583.04,29.51,0.28%,10477.57,10607.73,76551128,11590122.00,-
2017-03-22,10535.67,10553.53,-33.09,-0.31%,10488.63,10586.48,78849480,11528040.00,-
2017-03-21,10527.41,10586.62,54.29,0.52%,10513.63,10586.62,66733380,10633584.00,-
2017-03-20,10512.89,10532.33,16.92,0.16%,10459.74,10534.11,69838832,10601923.00,-
2017-03-17,10632.04,10515.41,-109.01,-1.03%,10514.67,10650.46,87884184,12994677.00,-
2017-03-16,10573.77,10624.42,81.41,0.77%,10573.77,10628.18,85855856,12615419.00,-
2017-03-15,10515.59,10543.01,11.28,0.11%,10499.85,10551.71,69601896,10391616.00,-
2017-03-14,10561.50,10531.73,-28.15,-0.27%,10515.52,10577.48,72039832,11083849.00,-
2017-03-13,10450.65,10559.88,108.87,1.04%,10402.72,10559.88,76422168,11429164.00,-
2017-03-10,10415.38,10451.01,29.95,0.29%,10415.38,10476.59,61538236,9533192.00,-
2017-03-09,10484.28,10421.06,-77.25,-0.74%,10402.36,10484.68,67406824,9635217.00,-
2017-03-08,10549.99,10498.31,-53.83,-0.51%,10473.88,10549.99,63771816,9577945.00,-
2017-03-07,10527.83,10552.14,29.86,0.28%,10495.50,10552.14,75639968,11552814.00,-
2017-03-06,10406.23,10522.28,125.23,1.20%,10406.23,10522.28,78250216,11947148.00,-
2017-03-03,10339.89,10397.05,29.74,0.29%,10308.22,10404.87,69825712,10153171.00,-
2017-03-02,10429.98,10367.31,-51.31,-0.49%,10362.00,10443.87,72215632,9697432.00,-
2017-03-01,10387.63,10418.62,27.28,0.26%,10378.12,10446.38,75071440,10056464.00,-
2017-02-28,10354.87,10391.34,37.78,0.36%,10340.09,10402.28,64357288,8538110.00,-
2017-02-27,10443.30,10353.56,-90.17,-0.86%,10345.47,10447.68,74077832,9924662.00,-
2017-02-24,10423.64,10443.73,11.09,0.11%,10396.75,10446.50,76567544,10288310.00,-
2017-02-23,10439.83,10432.64,-11.74,-0.11%,10379.05,10454.16,86652016,11059042.00,-
2017-02-22,10403.92,10444.38,38.63,0.37%,10385.10,10444.38,80970640,10326146.00,-
2017-02-21,10338.87,10405.75,76.75,0.74%,10330.29,10407.14,81971416,10662001.00,-
2017-02-20,10203.02,10329.00,131.08,1.29%,10203.02,10334.59,76302968,9784666.00,-
2017-02-17,10261.09,10197.92,-56.04,-0.55%,10183.38,10296.14,74935560,9541378.00,-
2017-02-16,10175.12,10253.96,76.71,0.75%,10163.24,10253.96,69286128,8367322.00,-
2017-02-15,10259.95,10177.25,-87.67,-0.85%,10160.11,10294.77,78931512,9753466.00,-
2017-02-14,10273.09,10264.92,-5.90,-0.06%,10234.37,10286.37,65103340,8197397.00,-
2017-02-13,10188.71,10270.83,84.45,0.83%,10187.09,10279.12,77994984,9625706.00,-
2017-02-10,10184.57,10186.38,3.65,0.04%,10155.36,10212.48,75602008,9035776.00,-
2017-02-09,10124.45,10182.73,52.61,0.52%,10116.45,10194.42,68979408,8881176.00,-
2017-02-08,10043.61,10130.12,74.55,0.74%,10003.92,10130.12,57522172,7586910.00,-
2017-02-07,10072.51,10055.57,-23.16,-0.23%,10011.77,10093.67,53470568,6916219.50,-
2017-02-06,10004.22,10078.73,73.89,0.74%,9984.64,10080.58,51862156,6557779.50,-
2017-02-03,10061.29,10004.84,-47.21,-0.47%,9985.30,10066.70,45144216,5033531.00,-
2017-01-26,9989.85,10052.05,74.09,0.74%,9989.36,10053.36,45169592,5498027.00,-
2017-01-25,9931.62,9977.96,36.41,0.37%,9922.49,9991.50,43293548,5336924.50,-
2017-01-24,9972.61,9941.55,-34.64,-0.35%,9928.08,9978.27,51076768,6242457.00,-
2017-01-23,9919.41,9976.19,70.05,0.71%,9919.41,10010.08,56818120,6849927.50,-
2017-01-20,9763.04,9906.14,137.57,1.41%,9762.78,9925.17,52895984,6885930.50,-
2017-01-19,9781.64,9768.57,-36.19,-0.37%,9746.30,9821.22,45484056,5400063.00,-
2017-01-18,9801.08,9804.76,-22.03,-0.22%,9774.75,9858.79,46393016,6289788.50,-
2017-01-17,9684.53,9826.79,113.99,1.17%,9611.19,9827.91,57698372,7555910.00,-
2017-01-16,9993.56,9712.80,-295.50,-2.95%,9482.84,9993.56,82699384,10332469.00,-
2017-01-13,10135.68,10008.30,-122.93,-1.21%,9997.40,10155.22,59788620,7686034.00,-
2017-01-12,10207.43,10131.23,-84.25,-0.82%,10127.42,10236.09,62418236,7345732.00,-
2017-01-11,10294.30,10215.48,-90.86,-0.88%,10213.86,10331.37,61994392,7779130.50,-
2017-01-10,10327.01,10306.34,-25.45,-0.25%,10301.69,10357.14,64607492,8234365.50,-
2017-01-09,10281.31,10331.79,42.43,0.41%,10258.37,10337.70,61933736,8582359.00,-
2017-01-06,10362.85,10289.36,-82.11,-0.79%,10286.52,10363.12,61857024,8652467.00,-
2017-01-05,10382.60,10371.47,-13.40,-0.13%,10365.44,10396.91,68094984,9177060.00,-
2017-01-04,10264.43,10384.87,122.02,1.19%,10255.75,10384.87,72296288,9993175.00,-
2017-01-03,10205.14,10262.85,85.71,0.84%,10205.14,10275.13,62193540,7788159.00,-
2016-12-30,10175.50,10177.14,17.69,0.17%,10145.11,10204.09,50435324,6523631.00,-
2016-12-29,10177.03,10159.45,-27.71,-0.27%,10151.28,10222.52,49348956,6447161.00,-
2016-12-28,10229.01,10187.16,-43.41,-0.42%,10169.80,10246.77,51950156,6443636.50,-
2016-12-27,10229.91,10230.57,-2.85,-0.03%,10221.67,10270.98,52586172,6806116.00,-
2016-12-26,10163.51,10233.42,33.56,0.33%,10062.37,10233.42,61395728,7861068.50,-
2016-12-23,10304.63,10199.86,-107.06,-1.04%,10196.72,10311.39,63294100,7907261.00,-
2016-12-22,10310.72,10306.92,-6.65,-0.06%,10257.32,10323.07,58660432,7418071.50,-
2016-12-21,10266.19,10313.57,68.24,0.67%,10266.19,10320.34,62491032,7951881.00,-
2016-12-20,10275.44,10245.33,-37.83,-0.37%,10204.02,10276.63,63582324,7646382.50,-
2016-12-19,10330.61,10283.16,-51.60,-0.50%,10262.69,10330.61,65563488,8049444.50,-
2016-12-16,10258.64,10334.76,78.65,0.77%,10239.21,10346.53,67987400,8752582.00,-
2016-12-15,10202.24,10256.11,23.29,0.23%,10195.00,10331.98,75587200,9589940.00,-
2016-12-14,10318.07,10232.82,-99.46,-0.96%,10213.95,10333.66,79221984,9970805.00,-
2016-12-13,10280.44,10332.28,29.43,0.29%,10192.13,10364.06,81812800,10397014.00,-
2016-12-12,10774.59,10302.85,-486.77,-4.51%,10292.54,10775.57,115126880,15302405.00,-
2016-12-09,10802.18,10789.62,-22.68,-0.21%,10766.55,10835.91,77588544,10700016.00,-
2016-12-08,10865.22,10812.30,-43.42,-0.40%,10804.74,10865.22,78383208,10222484.00,-
2016-12-07,10780.21,10855.72,75.96,0.70%,10751.20,10855.72,74521760,9653013.00,-
2016-12-06,10798.80,10779.77,-4.56,-0.04%,10774.36,10833.81,69833816,10234542.00,-
2016-12-05,10776.12,10784.33,-128.30,-1.18%,10762.85,10894.08,91377688,12445917.00,-
2016-12-02,11074.54,10912.63,-175.53,-1.58%,10905.39,11078.29,101103552,13909924.00,-
2016-12-01,11037.12,11088.16,75.97,0.69%,11036.61,11090.93,95405536,13854869.00,-
2016-11-30,11023.66,11012.19,-22.51,-0.20%,10983.18,11072.05,97834056,13875565.00,-
2016-11-29,11039.62,11034.70,-34.17,-0.31%,11026.30,11124.81,113370336,15474277.00,-
2016-11-28,11078.77,11068.87,32.34,0.29%,11045.68,11108.87,111328216,15665778.00,-
2016-11-25,10966.36,11036.53,69.06,0.63%,10830.40,11036.53,102832032,14732227.00,-
2016-11-24,10960.64,10967.47,-6.33,-0.06%,10947.27,11030.12,102753136,14722127.00,-
2016-11-23,11011.00,10973.80,-11.80,-0.11%,10952.00,11041.52,108008928,15799611.00,-
2016-11-22,10910.42,10985.60,85.68,0.79%,10910.42,10985.60,95783784,13126551.00,-
2016-11-21,10877.08,10899.92,10.81,0.10%,10861.81,10955.44,82298544,11533010.00,-
2016-11-18,10946.88,10889.11,-56.31,-0.51%,10876.91,10963.66,78940112,10820859.00,-
2016-11-17,10942.10,10945.42,-22.66,-0.21%,10887.51,10961.80,85299432,11810466.00,-
2016-11-16,10970.70,10968.08,9.98,0.09%,10956.87,10998.92,109218192,14785428.00,-
2016-11-15,10910.14,10958.10,50.57,0.46%,10877.40,10958.10,106385712,13936969.00,-
2016-11-14,10855.98,10907.53,29.39,0.27%,10847.82,10952.61,132624408,16831828.00,-
2016-11-11,10823.93,10878.14,56.48,0.52%,10792.83,10878.14,126012496,15733444.00,-
2016-11-10,10777.10,10821.66,124.55,1.16%,10777.10,10848.98,100993896,12578772.00,-
2016-11-09,10768.86,10697.11,-66.02,-0.61%,10575.16,10785.09,104935392,13894497.00,-
2016-11-08,10734.07,10763.13,67.95,0.64%,10722.36,10785.88,80350768,10589729.00,-
2016-11-07,10704.26,10695.18,-7.39,-0.07%,10663.56,10729.99,86748064,10350377.00,-
