Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2010-10-18,55.00,52.50,-3.11,-5.59%,51.01,55.60,35891,18797.98,4.54%
2010-10-15,57.03,55.61,-1.35,-2.37%,54.90,57.03,22314,12399.16,2.82%
2010-10-14,54.01,56.96,2.46,4.51%,53.65,58.27,37360,21180.91,4.73%
2010-10-13,54.15,54.50,0.61,1.13%,53.01,54.50,22417,12063.19,2.84%
2010-10-12,52.50,53.89,0.94,1.78%,52.50,54.55,20185,10873.83,2.56%
2010-10-11,54.00,52.95,-1.01,-1.87%,52.19,54.12,40196,21314.78,5.09%
2010-10-08,53.35,53.96,0.70,1.31%,53.16,54.70,18189,9797.73,2.30%
2010-09-30,52.50,53.26,0.24,0.45%,52.45,53.50,9293,4929.11,1.18%
2010-09-29,53.97,53.02,-0.95,-1.76%,52.88,54.60,17029,9156.02,2.16%
2010-09-28,53.31,53.97,0.67,1.26%,52.70,54.10,13998,7475.23,1.77%
2010-09-27,52.51,53.30,0.89,1.70%,52.50,54.19,12355,6586.36,1.56%
2010-09-21,54.15,52.41,-1.72,-3.18%,52.30,54.89,15091,8002.72,1.91%
2010-09-20,56.20,54.13,-2.05,-3.65%,54.10,56.75,11414,6265.52,1.44%
2010-09-17,55.40,56.18,1.04,1.89%,55.40,56.50,13364,7481.43,1.69%
2010-09-16,56.70,55.14,-1.56,-2.75%,54.80,57.40,20492,11382.07,2.59%
2010-09-15,59.00,56.70,-2.60,-4.38%,56.51,59.29,27530,15817.95,3.48%
2010-09-14,61.00,59.30,-1.11,-1.84%,58.83,61.30,22763,13571.70,2.88%
2010-09-13,61.50,60.41,-0.59,-0.97%,60.00,61.50,18581,11247.69,2.35%
2010-09-10,61.31,61.00,-0.31,-0.51%,60.30,62.80,26157,16091.18,3.31%
2010-09-09,60.48,61.31,1.31,2.18%,60.00,62.50,38178,23527.47,4.83%
2010-09-08,59.44,60.00,0.46,0.77%,58.75,60.46,23966,14348.25,3.03%
2010-09-07,59.50,59.54,0.09,0.15%,58.50,60.49,29103,17308.92,3.68%
2010-09-06,62.86,59.45,-3.34,-5.32%,59.01,63.33,44076,26632.58,5.58%
2010-09-03,61.51,62.79,1.31,2.13%,61.51,64.55,57721,36536.31,7.31%
2010-09-02,59.63,61.48,2.18,3.68%,58.27,62.56,64514,39391.59,8.17%
2010-09-01,58.81,59.30,0.70,1.19%,58.70,61.53,46973,28311.60,5.95%
2010-08-31,57.99,58.60,0.09,0.15%,57.62,59.26,29915,17460.18,3.79%
2010-08-30,56.50,58.51,1.89,3.34%,56.50,58.90,30491,17757.42,3.86%
2010-08-27,55.88,56.62,0.23,0.41%,55.00,57.30,24980,14039.16,3.16%
2010-08-26,56.18,56.39,-0.21,-0.37%,55.51,57.36,20339,11442.32,2.57%
2010-08-25,59.00,56.60,-2.34,-3.97%,56.60,59.20,30349,17518.15,3.84%
2010-08-24,54.00,58.94,4.71,8.69%,54.00,59.56,50585,28976.93,6.40%
2010-08-23,54.96,54.23,-0.77,-1.40%,53.90,55.49,28417,15521.10,3.60%
2010-08-20,57.84,55.00,-3.06,-5.27%,55.00,58.25,42475,23890.03,5.38%
2010-08-19,58.28,58.06,-0.19,-0.33%,57.84,58.65,19948,11623.51,2.53%
2010-08-18,58.72,58.25,-0.45,-0.77%,57.99,59.74,28026,16463.96,3.55%
2010-08-17,59.60,58.70,-0.60,-1.01%,58.20,59.80,26247,15440.19,3.32%
2010-08-16,58.70,59.30,0.73,1.25%,57.00,59.58,26064,15414.11,3.30%
2010-08-13,58.35,58.57,0.22,0.38%,57.10,58.88,20821,12104.24,2.64%
2010-08-12,58.99,58.35,-1.31,-2.20%,58.33,59.55,21664,12725.16,2.74%
2010-08-11,59.18,59.66,-0.23,-0.38%,58.68,60.65,25707,15294.54,3.25%
2010-08-10,63.15,59.89,-3.18,-5.04%,59.88,63.21,43253,26476.12,5.48%
2010-08-09,62.85,63.07,0.27,0.43%,61.86,63.17,33850,21204.52,4.28%
2010-08-06,61.90,62.80,0.70,1.13%,61.81,63.00,27788,17370.41,3.52%
2010-08-05,62.14,62.10,1.79,2.97%,60.60,63.28,43263,26979.51,5.48%
2010-08-04,60.24,60.31,-0.84,-1.37%,57.80,61.50,52350,31044.61,6.63%
